iter	Passed	Remaining
301	5896	13627
302	5912	13600
303	5927	13571
304	5943	13543
305	5958	13513
306	5973	13484
307	5989	13456
308	6005	13429
309	6021	13402
310	6038	13377
311	6054	13349
312	6075	13333
313	6090	13306
314	6106	13279
315	6122	13252
316	6137	13223
317	6153	13196
318	6168	13169
319	6185	13144
320	6202	13119
321	6218	13093
322	6233	13065
323	6250	13041
324	6266	13015
325	6283	12991
326	6299	12964
327	6314	12937
328	6330	12910
329	6346	12884
330	6362	12858
331	6377	12830
332	6391	12801
333	6407	12777
334	6424	12752
335	6440	12727
336	6455	12700
337	6472	12676
338	6487	12649
339	6503	12624
340	6519	12598
341	6534	12571
342	6549	12544
343	6563	12516
344	6579	12491
345	6597	12470
346	6614	12447
347	6629	12420
348	6645	12395
349	6660	12370
350	6676	12344
351	6692	12319
352	6708	12296
353	6723	12268
354	6738	12244
355	6755	12219
356	6771	12196
357	6786	12169
358	6801	12144
359	6818	12121
360	6833	12096
361	6849	12071
362	6864	12046
363	6881	12023
364	6895	11997
365	6912	11973
366	6927	11949
367	6944	11926
368	6961	11904
369	6980	11885
370	6999	11867
371	7017	11847
372	7036	11827
373	7050	11801
374	7066	11777
375	7082	11753
376	7097	11729
377	7112	11703
378	7130	11684
379	7150	11665
380	7165	11642
381	7181	11618
382	7198	11596
383	7214	11572
384	7230	11550
385	7248	11529
386	7263	11505
387	7279	11482
388	7296	11459
389	7310	11434
390	7325	11410
391	7340	11385
392	7354	11360
393	7370	11336
394	7386	11313
395	7400	11288
396	7414	11262
397	7430	11239
398	7446	11216
399	7462	11193
400	7478	11170
401	7493	11147
402	7509	11123
403	7524	11100
404	7539	11076
405	7555	11054
406	7572	11033
407	7588	11010
408	7604	10988
409	7619	10965
410	7636	10943
411	7656	10926
412	7673	10905
413	7688	10882
414	7704	10860
415	7719	10836
416	7735	10814
417	7751	10792
418	7768	10771
419	7784	10749
420	7800	10728
421	7816	10705
422	7832	10683
423	7847	10660
424	7863	10639
425	7877	10613
426	7892	10591
427	7908	10568
428	7923	10546
429	7940	10525
430	7955	10503
431	7970	10480
432	7985	10457
433	8002	10436
434	8017	10414
435	8034	10392
436	8050	10371
437	8065	10349
438	8081	10327
439	8098	10306
440	8113	10283
441	8129	10263
442	8145	10241
443	8161	10220
444	8179	10201
445	8197	10182
446	8213	10161
447	8229	10140
448	8246	10120
449	8263	10100
450	8280	10079
451	8296	10058
452	8311	10036
453	8328	10015
454	8342	9992
455	8358	9971
456	8373	9949
457	8388	9927
458	8406	9908
459	8424	9889
460	8442	9870
461	8460	9852
462	8477	9832
463	8494	9813
464	8512	9794
465	8529	9774
466	8544	9752
467	8559	9730
468	8575	9708
469	8591	9687
470	8605	9665
471	8620	9642
472	8634	9620
473	8650	9599
474	8666	9578
475	8683	9559
476	8702	9541
477	8717	9519
478	8733	9498
479	8750	9479
480	8766	9458
481	8782	9438
482	8797	9416
483	8813	9396
484	8828	9374
485	8844	9353
486	8860	9333
487	8875	9312
488	8891	9291
489	8906	9269
490	8922	9249
491	8937	9228
492	8954	9209
493	8970	9188
494	8986	9168
495	9006	9151
496	9022	9130
497	9037	9110
498	9052	9089
499	9067	9067
500	9082	9045
501	9097	9024
502	9112	9003
503	9128	8983
504	9143	8962
505	9159	8942
506	9175	8921
507	9191	8902
508	9208	8882
509	9227	8866
510	9244	8846
511	9260	8825
512	9276	8806
513	9291	8785
514	9306	8764
515	9322	8744
516	9338	8724
517	9354	8704
518	9370	8684
519	9388	8666
520	9404	8646
521	9421	8627
522	9437	8607
523	9454	8588
524	9469	8567
525	9485	8547
526	9500	8526
527	9515	8506
528	9530	8485
529	9546	8465
530	9560	8444
531	9576	8424
532	9591	8404
533	9607	8384
534	9623	8364
535	9640	8345
536	9655	8324
537	9670	8304
538	9685	8284
539	9701	8263
540	9716	8243
541	9732	8224
542	9751	8206
543	9770	8190
544	9785	8169
545	9801	8149
546	9817	8130
547	9832	8109
548	9847	8089
549	9863	8069
550	9878	8050
551	9893	8029
552	9907	8008
553	9922	7988
554	9938	7968
555	9953	7948
556	9969	7928
557	9984	7909
558	10000	7889
559	10016	7869
560	10030	7849
561	10046	7830
562	10062	7810
563	10077	7790
564	10092	7770
565	10107	7750
566	10123	7730
567	10139	7711
568	10155	7692
569	10171	7673
570	10186	7653
571	10202	7634
572	10217	7614
573	10233	7595
574	10249	7575
575	10269	7559
576	10284	7539
577	10303	7522
578	10319	7503
579	10334	7483
580	10348	7463
581	10365	7444
582	10380	7424
583	10396	7405
584	10411	7386
585	10428	7367
586	10442	7347
587	10457	7327
588	10472	7307
589	10487	7287
590	10503	7268
591	10518	7249
592	10533	7229
593	10553	7213
594	10569	7194
595	10586	7175
596	10602	7157
597	10617	7137
598	10633	7118
599	10649	7099
600	10665	7080
601	10678	7059
602	10693	7040
603	10708	7020
604	10726	7003
605	10742	6984
606	10757	6964
607	10773	6945
608	10789	6927
609	10806	6908
610	10825	6892
611	10841	6873
612	10857	6854
613	10872	6834
614	10887	6815
615	10902	6796
616	10918	6777
617	10934	6758
618	10950	6740
619	10966	6721
620	10980	6701
621	10995	6682
622	11010	6662
623	11026	6643
624	11041	6624
625	11057	6606
626	11071	6586
627	11087	6567
628	11103	6548
629	11118	6529
630	11134	6511
631	11149	6492
632	11165	6473
633	11180	6454
634	11197	6436
635	11212	6417
636	11228	6398
637	11244	6379
638	11259	6361
639	11274	6341
640	11290	6323
641	11305	6304
642	11322	6286
643	11338	6267
644	11355	6250
645	11370	6231
646	11386	6212
647	11402	6193
648	11417	6175
649	11432	6156
650	11447	6136
651	11464	6118
652	11479	6099
653	11495	6081
654	11510	6062
655	11526	6044
656	11541	6025
657	11558	6007
658	11573	5988
659	11589	5970
660	11605	5952
661	11621	5933
662	11635	5914
663	11652	5896
664	11667	5877
665	11683	5859
666	11698	5840
667	11714	5822
668	11729	5803
669	11745	5784
670	11759	5765
671	11775	5747
672	11791	5729
673	11806	5710
674	11822	5692
675	11840	5675
676	11857	5657
677	11873	5638
678	11889	5620
679	11905	5602
680	11922	5584
681	11938	5566
682	11954	5548
683	11969	5529
684	11986	5511
685	12001	5493
686	12017	5475
687	12032	5456
688	12048	5438
689	12064	5420
690	12081	5402
691	12096	5383
692	12111	5365
693	12126	5346
694	12143	5329
695	12158	5310
696	12172	5291
697	12188	5273
698	12204	5255
699	12219	5237
700	12234	5218
701	12250	5200
702	12265	5181
703	12280	5163
704	12295	5144
705	12310	5126
706	12326	5108
707	12343	5090
708	12361	5073
709	12380	5056
710	12395	5038
711	12411	5020
712	12427	5002
713	12443	4984
714	12458	4965
715	12473	4947
716	12488	4929
717	12503	4911
718	12519	4892
719	12534	4874
720	12550	4856
721	12565	4838
722	12581	4820
723	12596	4802
724	12611	4783
725	12625	4764
726	12640	4746
727	12655	4728
728	12671	4710
729	12686	4692
730	12702	4674
731	12717	4656
732	12733	4638
733	12748	4619
734	12762	4601
735	12778	4583
736	12792	4565
737	12809	4547
738	12823	4528
739	12839	4511
740	12853	4492
741	12869	4474
742	12885	4456
743	12903	4440
744	12921	4422
745	12937	4405
746	12952	4386
747	12968	4369
748	12984	4351
749	12999	4333
750	13014	4315
751	13030	4297
752	13045	4279
753	13060	4261
754	13076	4243
755	13091	4225
756	13107	4207
757	13123	4189
758	13139	4172
759	13154	4154
760	13169	4136
761	13184	4117
762	13199	4099
763	13214	4081
764	13228	4063
765	13245	4046
766	13262	4028
767	13277	4011
768	13292	3993
769	13309	3975
770	13324	3957
771	13341	3940
772	13356	3922
773	13374	3905
774	13391	3887
775	13411	3871
776	13432	3855
777	13449	3837
778	13467	3820
779	13484	3803
780	13500	3785
781	13515	3767
782	13531	3750
783	13547	3732
784	13564	3715
785	13579	3697
786	13595	3679
787	13610	3661
788	13626	3644
789	13642	3626
790	13657	3608
791	13673	3590
792	13688	3573
793	13706	3555
794	13721	3538
795	13738	3520
796	13752	3502
797	13768	3485
798	13781	3466
799	13797	3449
800	13812	3431
801	13828	3414
802	13843	3396
803	13858	3378
804	13875	3361
805	13893	3344
806	13910	3326
807	13928	3309
808	13953	3294
809	13971	3277
810	13986	3259
811	14002	3241
812	14016	3224
813	14032	3206
814	14048	3188
815	14065	3171
816	14080	3153
817	14095	3136
818	14110	3118
819	14126	3100
820	14140	3083
821	14156	3065
822	14172	3048
823	14188	3030
824	14203	3012
825	14218	2995
826	14234	2977
827	14250	2960
828	14266	2942
829	14282	2925
830	14299	2908
831	14315	2890
832	14331	2873
833	14347	2855
834	14363	2838
835	14380	2821
836	14397	2803
837	14413	2786
838	14429	2769
839	14444	2751
840	14463	2734
841	14479	2716
842	14496	2699
843	14511	2682
844	14527	2664
845	14542	2647
846	14558	2629
847	14572	2612
848	14589	2594
849	14604	2577
850	14620	2559
851	14635	2542
852	14651	2524
853	14666	2507
854	14683	2490
855	14698	2472
856	14714	2455
857	14729	2437
858	14745	2420
859	14762	2403
860	14776	2385
861	14792	2368
862	14806	2350
863	14823	2333
864	14838	2315
865	14852	2298
866	14868	2280
867	14885	2263
868	14900	2246
869	14915	2228
870	14931	2211
871	14946	2193
872	14961	2176
873	14976	2159
874	14995	2142
875	15015	2125
876	15031	2108
877	15047	2090
878	15063	2073
879	15079	2056
880	15094	2038
881	15109	2021
882	15125	2004
883	15140	1986
884	15155	1969
885	15170	1951
886	15185	1934
887	15199	1917
888	15215	1899
889	15230	1882
890	15246	1865
891	15262	1847
892	15276	1830
893	15291	1813
894	15306	1795
895	15321	1778
896	15337	1761
897	15353	1743
898	15369	1726
899	15385	1709
900	15400	1692
901	15416	1674
902	15430	1657
903	15446	1640
904	15460	1622
905	15479	1606
906	15496	1588
907	15516	1572
908	15535	1555
909	15552	1538
910	15567	1520
911	15583	1503
912	15599	1486
913	15615	1469
914	15630	1452
915	15646	1434
916	15663	1417
917	15681	1400
918	15697	1383
919	15713	1366
920	15727	1349
921	15741	1331
922	15757	1314
923	15774	1297
924	15789	1280
925	15805	1263
926	15821	1245
927	15836	1228
928	15851	1211
929	15867	1194
930	15883	1177
931	15898	1159
932	15914	1142
933	15930	1125
934	15946	1108
935	15963	1091
936	15980	1074
937	15994	1057
938	16010	1040
939	16027	1023
940	16047	1006
941	16063	989
942	16080	971
943	16095	954
944	16112	937
945	16127	920
946	16142	903
947	16158	886
948	16174	869
949	16190	852
950	16205	835
951	16220	817
952	16236	800
953	16250	783
954	16267	766
955	16281	749
956	16298	732
957	16313	715
958	16328	698
959	16344	681
960	16359	663
961	16375	646
962	16391	629
963	16407	612
964	16421	595
965	16438	578
966	16454	561
967	16471	544
968	16486	527
969	16504	510
970	16521	493
971	16540	476
972	16559	459
973	16577	442
974	16593	425
975	16609	408
976	16625	391
977	16640	374
978	16656	357
979	16672	340
980	16688	323
981	16704	306
982	16719	289
983	16734	272
984	16748	255
985	16764	238
986	16779	221
987	16796	204
988	16811	186
989	16826	169
990	16841	152
991	16856	135
992	16872	118
993	16888	101
994	16905	84
995	16920	67
996	16936	50
997	16951	33
998	16966	16
999	16981	0
